failure_type,record_count,total_failure_events,avg_maintenance_cost,avg_downtime_hours
Electerical Issue,1022,1987,8820.576097777008,10.574735812133072
Software/Data Issue,861,1719,7760.353035131772,9.851056910569106
Sensor Issue,738,1451,9835.527798237983,11.956856368563685
Battery Issue,513,935,8912.934684645837,10.795458089668616
Overheating,488,958,8973.184652277048,10.396434426229508
Mechanical Issue,276,579,8244.849293422332,10.146231884057972
General Maintenance,251,494,7826.778019001332,10.130677290836655
